date,asset,mean_sentiment,n_headlines,n_positive,n_negative
2023-01-12,bonds,-0.6866766810417175,1,0,1
2023-01-12,gold,-0.6866766810417175,1,0,1
2023-01-18,bonds,-0.7748350501060486,1,0,1
2023-01-18,gold,-0.7748350501060486,1,0,1
2023-02-01,bonds,0.06597782485187054,2,1,1
2023-02-01,gold,0.06597782485187054,2,1,1
2023-02-14,bonds,-0.3482958599925041,2,0,2
2023-02-14,gold,-0.3482958599925041,2,0,2
2023-03-08,crude,0.283905029296875,1,1,0
2023-03-22,bonds,-0.26539721339941025,2,0,1
2023-03-22,gold,-0.26539721339941025,2,0,1
2023-04-02,crude,-0.8645724132657051,1,0,1
2023-04-12,bonds,0.14901494979858398,1,1,0
2023-04-12,gold,0.14901494979858398,1,1,0
2023-05-03,bonds,0.4398747533559799,2,2,0
2023-05-03,gold,0.4398747533559799,2,2,0
2023-05-10,bonds,0.4726337343454361,1,1,0
2023-05-10,gold,0.4726337343454361,1,1,0
2023-06-04,crude,0.8267022222280502,1,1,0
2023-06-14,bonds,-0.23816405422985554,2,1,1
2023-06-14,gold,-0.23816405422985554,2,1,1
2023-07-12,bonds,-0.5159635692834854,1,0,1
2023-07-12,gold,-0.5159635692834854,1,0,1
2023-07-26,bonds,0.8321790993213654,1,1,0
2023-07-26,gold,0.8321790993213654,1,1,0
2023-08-01,bonds,0.5289169996976852,1,1,0
2023-08-01,crude,0.5289169996976852,1,1,0
2023-08-01,gold,0.5289169996976852,1,1,0
2023-08-10,bonds,-0.42322102189064026,1,0,1
2023-08-10,gold,-0.4232216477394104,1,0,1
2023-09-05,crude,0.011723607778549194,1,1,0
2023-09-13,bonds,0.8470760211348534,1,1,0
2023-09-13,gold,0.8470760211348534,1,1,0
2023-09-20,bonds,-0.0018971115350723267,2,1,1
2023-09-20,gold,-0.0018971115350723267,2,1,1
2023-10-05,crude,-0.9428800158202648,1,0,1
2023-10-12,bonds,-0.47170890867710114,1,0,1
2023-10-12,gold,-0.47170890867710114,1,0,1
2023-10-19,bonds,-0.14022287726402283,1,0,1
2023-10-19,gold,-0.14022287726402283,1,0,1
2023-11-01,bonds,-0.12443939968943596,2,1,1
2023-11-01,gold,-0.12443939968943596,2,1,1
2023-11-14,bonds,-0.3957998491823673,2,0,2
2023-11-14,gold,-0.3957998491823673,2,0,2
2023-11-30,crude,-0.1826055347919464,1,0,1
2023-12-06,crude,-0.9219223968684673,1,0,1
2023-12-13,bonds,-0.053301408886909485,3,0,2
2023-12-13,gold,-0.053301408886909485,3,0,2
2024-01-11,bonds,0.6017497628927231,1,1,0
2024-01-11,gold,0.6017497628927231,1,1,0
2024-01-31,bonds,-0.33008924312889576,2,1,1
2024-01-31,gold,-0.33008924312889576,2,1,1
2024-02-05,bonds,-0.43399564921855927,1,0,1
2024-02-05,gold,-0.43399564921855927,1,0,1
2024-02-13,bonds,-0.8058934547007084,1,0,1
2024-02-13,gold,-0.8058934547007084,1,0,1
2024-03-01,crude,-0.48697035014629364,1,0,1
2024-03-12,bonds,-0.01914575695991516,1,0,1
2024-03-12,gold,-0.01914575695991516,1,0,1
2024-03-20,bonds,-0.015562999993562698,3,1,1
2024-03-20,gold,-0.015562999993562698,3,1,1
2024-04-05,crude,0.4355256259441376,1,1,0
2024-04-10,bonds,-0.2746323049068451,2,0,2
2024-04-10,gold,-0.2746323049068451,2,0,2
2024-05-01,bonds,-0.7625544555485249,2,0,2
2024-05-01,gold,-0.7625544555485249,2,0,2
2024-05-15,bonds,-0.03518590331077576,2,1,1
2024-05-15,gold,-0.03518590331077576,2,1,1
2024-06-02,crude,0.7993332892656326,1,1,0
2024-06-03,crude,-0.8850430808961391,1,0,1
2024-06-12,bonds,0.097683846950531,3,1,1
2024-06-12,gold,0.097683846950531,3,1,1
