asset,sentiment_bucket,window_days,n_events,avg_return,median_return,hit_rate,t_stat,p_value
bonds,negative,1,23,0.0024528725080859883,0.00231247290070824,0.391304347826087,1.7083150261134978,0.10165121139381009
bonds,neutral,1,10,0.0008178994475332657,-0.0006454371050486074,0.6,0.5906919151065385,0.5692611098647954
bonds,positive,1,15,0.0008270629925861768,0.001213265031005717,0.6,0.6647037520632001,0.5170400658342844
bonds,negative,3,23,-0.0010124378538503781,0.00028401022436796985,0.4782608695652174,-0.616192202994079,0.5440913609849755
bonds,neutral,3,10,-0.000905846566553814,-0.0003636532670130421,0.5,-0.4692502862939016,0.6500505327472758
bonds,positive,3,15,-0.004581893299116165,-0.005796710703693697,0.3333333333333333,-2.7106861090942584,0.016899175860270624
bonds,negative,5,23,-0.0014423578910638729,0.0,0.4782608695652174,-0.7701218446890751,0.44941879938514795
bonds,neutral,5,10,0.001246891317134624,0.0021242303704370746,0.4,0.4315455784985626,0.6762248092589547
bonds,positive,5,15,-0.0037105906710355927,-0.004132820293572759,0.3333333333333333,-1.5797981338389695,0.13647549104011297
crude,negative,1,6,0.0024493472217123613,-0.006822909022886237,0.6666666666666666,0.19038924561480253,0.8564928021472901
crude,neutral,1,1,0.009805034608178831,0.009805034608178831,1.0,,
crude,positive,1,5,-0.014230576032212427,-0.012261967081940828,0.2,-1.9837024363430307,0.11829945527493958
crude,negative,3,6,0.016201226510707895,0.022940853777350112,0.3333333333333333,0.9815059581082001,0.37141828994163834
crude,neutral,3,1,0.009458988023197445,0.009458988023197445,1.0,,
crude,positive,3,5,-0.00828250606368348,-0.008054361386960807,0.4,-0.7918991623390323,0.47273401265307774
crude,negative,5,6,-0.00031013335262243996,0.004293425327347333,0.3333333333333333,-0.01467838619991975,0.9888564529879182
crude,neutral,5,1,0.024800944006635017,0.024800944006635017,1.0,,
crude,positive,5,5,-0.03084716190637542,-0.018963490388141824,0.2,-1.3407234103535566,0.2510872659620918
gold,negative,1,23,0.002942609446026611,0.0012785761456397537,0.4782608695652174,1.1574370985355213,0.2595063033766753
gold,neutral,1,10,0.011234003755307597,0.011085458818794303,0.4,3.1045949482384194,0.012628483406481412
gold,positive,1,15,-0.00039480475791512,0.00047143912082781014,0.5333333333333333,-0.16113681693342144,0.8742878296424864
gold,negative,3,23,0.0014078938853811676,0.0028765026944130856,0.391304347826087,0.5164616176936949,0.610684775217837
gold,neutral,3,10,0.008633079107028796,0.008962245405706892,0.3,2.295035444005394,0.04738271517431813
gold,positive,3,15,-0.0034835870917670968,-0.001133750756922014,0.3333333333333333,-1.1224197893865964,0.2805654135387309
gold,negative,5,23,0.0033134656290572636,0.007619883916149428,0.34782608695652173,0.8291681663691634,0.41591547956295544
gold,neutral,5,10,0.011931900266383666,0.016612710556801358,0.3,2.61430512361646,0.02807186842735229
gold,positive,5,15,-0.007016815424043051,-0.006444030365736597,0.4666666666666667,-1.6670542799780401,0.1177088531281853
